organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Felis nigripes	61379	PRJNA399394	399394	Animals	Mammals	2428.42	41.9	GCA_004023925.1	NA	PISY01	590124	NA	NA	2019-01-15	2019-01-15	Scaffold	Broad Institute	SAMN07678084
Poeciliopsis occidentalis	68464	PRJNA532900	532900	Animals	Fishes	724.24	38.5	GCA_010883035.1	NA	SZYC01	15101	NA	NA	2020-02-20	2020-02-20	Scaffold	Texas A&M University	SAMN11418710
Sander vitreus	283036	PRJNA528354	528354	Animals	Fishes	782.908	40.8	GCA_009193085.1	NA	SOZC01	305863	NA	NA	2019-10-21	2019-10-21	Contig	Auburn University	SAMN11180528
Peronospora tabacina	230439	PRJNA285243	285243	Protists	Other Protists	63.0659	34.8	GCA_002099245.1	NA	NBSG01	4015	NA	NA	2017-04-18	2017-04-18	Scaffold	UC Davis Genome Center	SAMN03744138
Lynx pardinus	191816	PRJEB12609	311187	Animals	Mammals	2413.21	40.7	GCA_900661375.1	NA	CAAGRJ01	41700	4736081	31025	2019-03-25	2019-03-25	Scaffold	CNAG	SAMEA3862495
Octopus bimaculoides	37653	PRJNA305125	305125	Animals	Other Animals	2338.19	37.8	GCA_001194135.1	NA	LGKD01	151674	18314	23994	2015-07-31	2015-08-18	Scaffold	NCBI	SAMN03271701
[Candida] boidinii	5477	PRJDB3623	313794	Fungi	Ascomycetes	19.3772	30.4	GCA_001599335.1	NA	BCGP01	32	NA	NA	2016-03-01	2019-01-25	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028343
Oryctes borbonicus	1629725	PRJEB34604	602252	Animals	Insects	388.629	35.3	GCA_902654985.1	NA	CACRWG01	523	NA	NA	2020-01-20	2020-01-20	Scaffold	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA6168363
Naganishia albida	100951	PRJDB3657	313822	Fungi	Basidiomycetes	20.6974	53.8	GCA_001599735.1	NA	BCHV01	74	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028377
Rosellinia necatrix	77044	PRJDB3312	298873	Fungi	Ascomycetes	44.2578	50	GCA_001445595.3	NA	BBSO02	239	12644	12444	2015-10-14	2017-04-05	Scaffold	NARO Institute of Fruit Tree Science	SAMD00023353
Aspergillus lentulus	293939	PRJDB4311	300219	Fungi	Ascomycetes	30.9561	49.5	GCA_001445615.1	NA	BCLY01	19	9986	9680	2015-11-13	2015-11-13	Contig	Medical Mycology Research Center	SAMD00042548
Lacerta bilineata	95620	PRJEB24178	453719	Animals	Reptiles	1418.15	NA	GCA_900245895.1	NA	OFHV01	7510	NA	NA	2018-04-26	2018-04-26	Contig	German Centre for Integrative Biodiversity Research (iDiv)	SAMEA104452608
Diaporthe aspalathi	626713	PRJNA295230	295230	Fungi	Ascomycetes	55.0299	51.6	GCA_001447215.1	NA	LJJS01	1871	NA	NA	2015-11-20	2016-03-17	Scaffold	Beltsville Agricultural Research Center	SAMN04044447
Sturnus vulgaris	9172	PRJNA304638	304638	Animals	Birds	1036.76	41.7	GCA_001447265.1	NA	LNCF01	2361	16813	26611	2015-11-20	2015-11-20	Scaffold	NCBI	SAMN04029017
Candida sp. LDI48194	1759314	PRJNA282657	282657	Fungi	Ascomycetes	13.9915	33.1	GCA_001005365.1	NA	LBNG01	367	NA	NA	2015-05-08	2015-11-23	Contig	Universidade Federal do Para	SAMN03573713
Trichinella sp. T6	92179	PRJNA257433	257433	Animals	Roundworms	50.8537	33.5	GCA_001447435.1	NA	JYDK01	5951	15241	19518	2015-11-24	2016-03-08	Scaffold	University of Melbourne	SAMN02949481
Isatis tinctoria	161756	PRJNA549758	549758	Plants	Land Plants	293.865	38.1793	GCA_010577795.1	chromosome 1:CM021244.1; chromosome 2:CM021245.1; chromosome 3:CM021246.1; chromosome 4:CM021247.1; chromosome 5:CM021248.1; chromosome 6:CM021249.1; chromosome 7:CM021250.1	VHIU01	809	NA	NA	2020-02-13	2020-02-14	Chromosome	Isatis indigotica	SAMN12097857
Lycaon pictus	9622	PRJNA304992	304992	Animals	Mammals	2358.14	41.1817	GCA_001887905.1	chromosome 1:CM007565.1; chromosome 2:CM007566.1; chromosome 3:CM007567.1; chromosome 4:CM007568.1; chromosome 5:CM007569.1; chromosome 6:CM007570.1; chromosome 7:CM007571.1; chromosome 8:CM007572.1; chromosome 9:CM007573.1; chromosome 10:CM007574.1; chromosome 11:CM007576.1; chromosome 12:CM007577.1; chromosome 13:CM007578.1; chromosome 14:CM007579.1; chromosome 15:CM007580.1; chromosome 16:CM007581.1; chromosome 17:CM007582.1; chromosome 18:CM007583.1; chromosome 19:CM007584.1; chromosome 20:CM007585.1; chromosome 21:CM007586.1; chromosome 22:CM007587.1; chromosome 23:CM007588.1; chromosome 24:CM007589.1; chromosome 25:CM007590.1; chromosome 26:CM007591.1; chromosome 27:CM007592.1; chromosome 28:CM007593.1; chromosome 29:CM007594.1; chromosome 30:CM007555.1; chromosome 31:CM007556.1; chromosome 32:CM007557.1; chromosome 33:CM007558.1; chromosome 34:CM007559.1; chromosome 35:CM007560.1; chromosome 36:CM007561.1; chromosome 37:CM007562.1; chromosome 38:CM007563.1; chromosome X:CM007575.1; chromosome Y:CM007564.1; mitochondrion MT:CM007595.1	LPRB01	803	NA	NA	2016-11-18	2016-12-01	Chromosome	Smithsonian Institution	SAMN04312208
Pseudocohnilembus persalinus	266149	PRJNA275811	275811	Protists	Other Protists	55.4554	18.8	GCA_001447515.1	NA	LDAU01	288	13179	13179	2015-11-24	2015-11-24	Scaffold	Institute of hydrobiology	SAMN03353580
Trichinella patagoniensis	990121	PRJNA257433	257433	Animals	Roundworms	49.7732	33.6	GCA_001447655.1	NA	JYDQ01	6623	15319	19538	2015-11-24	2016-03-08	Scaffold	University of Melbourne	SAMN02949507
Debaryomyces fabryi	58627	PRJNA309725	309725	Fungi	Ascomycetes	11.6973	35.6	GCA_001447935.2	NA	LMYN01	536	6025	6025	2015-11-25	2020-03-16	Contig	NCBI	SAMN03794732
Pseudogymnoascus sp. VKM F-3775	1420901	PRJNA216963	216963	Fungi	Ascomycetes	28.5069	49	GCA_000750715.1	NA	JPJT01	6880	9472	9472	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400937
Pseudogymnoascus sp. VKM F-3808	1391699	PRJNA216963	216963	Fungi	Ascomycetes	27.7789	50.5	GCA_000750675.1	NA	JPJR01	3534	9929	9929	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02324760
Pseudogymnoascus sp. VKM F-3557	1437433	PRJNA216963	216963	Fungi	Ascomycetes	27.6499	50.2	GCA_000750665.1	NA	JPJS01	3339	9482	9482	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02324761
Pseudogymnoascus sp. VKM F-4513 (FW-928)	1420907	PRJNA216963	216963	Fungi	Ascomycetes	26.4407	50.9	GCA_000750755.1	NA	JPJW01	3425	8669	8669	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400943
Pseudogymnoascus sp. VKM F-4246	1420902	PRJNA216963	216963	Fungi	Ascomycetes	25.7599	51	GCA_000750735.1	NA	JPJU01	3685	8540	8540	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400938
Pseudogymnoascus sp. VKM F-4281 (FW-2241)	1420906	PRJNA216963	216963	Fungi	Ascomycetes	26.5496	50.6	GCA_000750745.1	NA	JPJV01	3783	8728	8728	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400942
Pseudogymnoascus sp. VKM F-4516 (FW-969)	1420910	PRJNA216963	216963	Fungi	Ascomycetes	27.5992	50.4	GCA_000750815.1	NA	JPJZ01	1601	9363	9363	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400946
Pseudogymnoascus sp. VKM F-4515 (FW-2607)	1420909	PRJNA216963	216963	Fungi	Ascomycetes	32.0069	50.2	GCA_000750805.1	NA	JPJY01	2437	10676	10676	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400945
Pseudogymnoascus sp. VKM F-4517 (FW-2822)	1420911	PRJNA216963	216963	Fungi	Ascomycetes	32.8804	50.2	GCA_000750875.1	NA	JPKA01	5738	10744	10744	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400947
Pseudogymnoascus sp. VKM F-4514 (FW-929)	1420908	PRJNA216963	216963	Fungi	Ascomycetes	27.027	50.5	GCA_000750795.1	NA	JPJX01	3211	8865	8865	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400944
Pseudogymnoascus sp. VKM F-103	1420912	PRJNA216963	216963	Fungi	Ascomycetes	30.2558	50.4	GCA_000750895.1	NA	JPKB01	1794	9802	9802	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400948
Pseudogymnoascus sp. VKM F-4520 (FW-2644)	1420915	PRJNA216963	216963	Fungi	Ascomycetes	34.0964	50.4	GCA_000750995.1	NA	JPKE01	4294	11551	11551	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400951
Pseudogymnoascus sp. VKM F-4519 (FW-2642)	1420914	PRJNA216963	216963	Fungi	Ascomycetes	32.5782	50.2	GCA_000750935.1	NA	JPKD01	3348	10630	10630	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400950
Pseudogymnoascus sp. VKM F-4518 (FW-2643)	1420913	PRJNA216963	216963	Fungi	Ascomycetes	35.4794	50.2	GCA_000750925.1	NA	JPKC01	3669	11619	11619	2014-09-09	2015-11-06	Contig	Moscow State University	SAMN02400949
Sphaeromyxa zaharoni	275449	PRJNA284326	284326	Animals	Other Animals	173.585	28	GCA_001455285.1	NA	LDMZ01	70914	NA	NA	2015-12-02	2015-12-02	Scaffold	Tel-Aviv University	SAMN03701400
Enteromyxum leei	188704	PRJNA284325	284325	Animals	Other Animals	68.1635	48.686	GCA_001455295.2	mitochondrion 1:LN868201.1; mitochondrion 2:LN868202.1; mitochondrion 3:LN868203.1; mitochondrion 4:LN868204.1; mitochondrion 5:LN868205.1; mitochondrion 6:LN868206.1; mitochondrion 7:LN868207.2; mitochondrion 8:LT714695.1	LDNA01	69053	5	13	2015-12-02	2015-12-02	Scaffold	Tel-Aviv University	SAMN03701405
Leptographium lundbergii	96373	PRJNA284246	284246	Fungi	Ascomycetes	26.5373	56.9	GCA_001455505.1	NA	LDEF01	411	NA	NA	2015-12-02	2015-12-02	Scaffold	University of Pretoria	SAMN03700049
Cottus rhenanus	446433	PRJNA297779	297779	Animals	Fishes	563.609	36.8	GCA_001455555.1	NA	LKTN01	164693	NA	NA	2015-12-02	2015-12-02	Scaffold	Cold Spring Harbor Laboratory	SAMN04145896
Diplodia scrobiculata	280322	PRJNA278001	278001	Fungi	Ascomycetes	34.9311	57	GCA_001455585.1	NA	LAEG01	3772	NA	NA	2015-12-02	2015-12-02	Scaffold	Forestry & Agricultural Biotechnology Institute, University of Pretoria	SAMN03401175
Trypanosoma equiperdum	5694	PRJEB11407	298712	Protists	Kinetoplasts	26.228	45.7	GCA_001457755.2	NA	CZPT02	2026	8662	7668	2015-10-25	2016-10-05	Scaffold	ANSES	SAMEA3603120
Bodo saltans	75058	PRJEB10421	302869	Protists	Kinetoplasts	39.8644	51.6	GCA_001460835.1	NA	CYKH01	2256	31674	18190	2015-11-19	2015-11-19	Scaffold	WTSI	SAMEA880062
Bradypus variegatus	9355	PRJNA399370	399370	Animals	Mammals	1502.48	42.8	GCA_004027775.1	NA	PVKY01	1771805	NA	NA	2019-01-16	2019-01-16	Scaffold	Broad Institute	SAMN07678054
Ptychodera flava	63121	PRJDB3182	302624	Animals	Other Animals	1228.69	38.4	GCA_001465055.1	NA	BCFJ01	218255	NA	NA	2015-11-20	2016-04-14	Scaffold	Okinawa Institute of Science and Technology	SAMD00023482
Galleria mellonella	7137	PRJNA498111	498111	Animals	Insects	401.915	33.1995	GCA_003640425.2	mitochondrion MT:NC_028532.1/	RBWF02	13304	14920	20166	2018-10-12	2019-11-06	Scaffold	NCBI	SAMN10148411
Myrmecophaga tridactyla	71006	PRJNA399407	399407	Animals	Mammals	3547.27	39.5	GCA_004026745.1	NA	PVIY01	1621408	NA	NA	2019-01-16	2019-01-16	Scaffold	Broad Institute	SAMN07678098
Chaetophractus vellerosus	340076	PRJNA399381	399381	Animals	Mammals	5335.6	39.7	GCA_004027955.1	NA	PVKH01	7677333	NA	NA	2019-01-16	2019-01-16	Scaffold	Broad Institute	SAMN07678071
Tolypeutes matacus	183749	PRJNA399423	399423	Animals	Mammals	4115.03	39.2	GCA_004025125.1	NA	PVIB01	2925507	NA	NA	2019-01-15	2019-01-15	Scaffold	Broad Institute	SAMN07678115
Aurantiochytrium sp. T66	1749249	PRJNA301203	301203	Protists	Other Protists	43.4294	61.2	GCA_001462505.1	NA	LNGJ01	1847	NA	NA	2015-12-09	2016-05-25	Scaffold	ThraustoEng	SAMN04231178
Polistes dominula	743375	PRJNA307991	307991	Animals	Insects	208.026	31.5	GCA_001465965.1	NA	LMBU01	1483	11313	20855	2015-12-14	2015-12-14	Scaffold	NCBI	SAMN02584905
Purpureocillium lilacinum	33203	PRJNA342689	342689	Fungi	Ascomycetes	38.5346	58.3	GCA_001653265.1	NA	LSBI01	163	11850	11763	2016-05-27	2016-08-15	Scaffold	NCBI	SAMN04404347
Limnoperna fortunei	356393	PRJNA330677	330677	Animals	Other Animals	1673.22	NA	GCA_003130415.1	NA	NFUK01	20580	NA	NA	2018-05-16	2018-05-16	Scaffold	GIGA	SAMN05425810
Eutrema yunnanense	347893	PRJNA419026	419026	Plants	Land Plants	415.364	35.4	GCA_002933935.1	NA	PKML01	78020	NA	NA	2018-02-20	2018-02-20	Scaffold	Sichuan University	SAMN08200759
Eutrema heterophyllum	347889	PRJNA419026	419026	Plants	Land Plants	348.971	37	GCA_002933915.1	NA	PKMM01	57686	NA	NA	2018-02-20	2018-02-20	Scaffold	Sichuan University	SAMN08200758
Trichoderma gamsii	398673	PRJNA342687	342687	Fungi	Ascomycetes	37.9083	48.9	GCA_001481775.2	NA	JPDN02	172	11171	11171	2015-12-23	2018-02-02	Scaffold	NCBI	SAMN02849381
Sanghuangporus baumii	108892	PRJNA304358	304358	Fungi	Basidiomycetes	31.6414	47.6	GCA_001481415.2	NA	LNZH02	217	8455	8455	2015-12-22	2016-07-20	Scaffold	China University of Petroleum	SAMN04299561
Phytophthora nicotianae	4790	PRJNA389504	389504	Protists	Other Protists	59.045	49.1	GCA_003328465.1	NA	NIOD01	2004	NA	NA	2018-07-19	2018-07-19	Scaffold	Tobacco research institute of Chinese Academy of Agricultural Sciences	SAMN07200924
Huntiella savannae	1580867	PRJNA283473	283473	Fungi	Ascomycetes	28.5424	48.3	GCA_001483325.1	NA	LCZG01	361	NA	NA	2015-12-30	2015-12-30	Scaffold	Forestry and Agricultural Biotechnology Institute	SAMN03651232
Arabis montbretiana	746018	PRJNA258048	258048	Plants	Land Plants	199.12	35.8	GCA_001484125.1	NA	LNCH01	28775	NA	NA	2016-01-04	2016-01-04	Contig	Max-Planck-Institute for Plant Breeding Research	SAMN02983095
Colletotrichum falcatum	129314	PRJNA272959	272959	Fungi	Ascomycetes	48.1864	51.6	GCA_001484525.1	NA	LPVI01	4358	NA	NA	2016-01-04	2016-03-10	Scaffold	ICAR-Sugarcane Breeding Institute	SAMN03287978
Arabis nordmanniana	571359	PRJNA258061	258061	Plants	Land Plants	342.307	35	GCA_001484925.1	NA	LNCG01	267228	NA	NA	2016-01-04	2016-01-04	Scaffold	Max-Planck-Institute for Plant Breeding Research	SAMN02983203
Heliconius ethilla aerotome	441047	PRJEB8011	288364	Animals	Insects	282.527	31.9	GCA_001485985.1	NA	FAPJ01	164030	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA1919250
Heliconius elevatus bari	1756245	PRJEB8011	288364	Animals	Insects	364.784	31.7	GCA_900068365.1	NA	FAPS01	302727	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA3670522
Heliconius pardalinus sergestus	884342	PRJEB8011	288364	Animals	Insects	293.609	32	GCA_001486225.1	NA	FASU01	153959	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA1919268
Entomophthora muscae	34485	PRJEB10825	305251	Fungi	Other Fungi	24.292	42.8	GCA_900018355.1	NA	FCOS01	31369	NA	NA	2016-01-29	2016-01-30	Contig	UNIVERSITY OF COPENHAGEN	SAMEA3545222
Condylostoma magnum	40633	PRJEB9019	307330	Protists	Other Protists	37.603	31.8	GCA_001499635.1	NA	CVLX01	43575	NA	NA	2016-01-03	2016-01-03	Contig	IZB	SAMEA3320992
Phialocephala scopiformis	149040	PRJNA342682	342682	Fungi	Ascomycetes	48.8763	47.6	GCA_001500285.1	NA	LKNI01	71	18659	18567	2016-01-06	2016-03-01	Scaffold	NCBI	SAMN04009710
Knoxdaviesia proteae	1215355	PRJNA275563	275563	Fungi	Ascomycetes	35.4891	52.7	GCA_001510565.1	NA	LNGL01	133	NA	NA	2016-01-11	2016-03-08	Scaffold	University of Stellenbosch	SAMN03349769
Knoxdaviesia capensis	114771	PRJNA246171	246171	Fungi	Ascomycetes	35.5378	52.8	GCA_001510575.1	NA	LNGK01	29	NA	NA	2016-01-11	2016-03-10	Scaffold	University of Stellenbosch	SAMN02743810
Ramularia collo-cygni	112498	PRJEB12938	416080	Fungi	Ascomycetes	32.2549	50.9	GCA_900074925.1	NA	FJUY01	78	11544	11612	2017-10-28	2017-10-28	Scaffold	Technische Universitat Munchen - WZW	SAMEA3894895
Aspergillus calidoustus	454130	PRJEB7718	307674	Fungi	Ascomycetes	41.1027	51.1	GCA_001511075.1	NA	CDMC01	78	15139	15384	2016-01-04	2016-01-04	Scaffold	HKI JENA	SAMEA3134252
Ceratocystis eucalypticola	633669	PRJNA294286	294286	Fungi	Ascomycetes	30.7179	48.1	GCA_001513815.1	NA	LJOA01	959	NA	NA	2016-01-13	2016-01-13	Scaffold	University of pretoria	SAMN04019022
Chrysoporthe deuterocubensis	764597	PRJNA265023	265023	Fungi	Ascomycetes	43.9684	55.3	GCA_001513825.1	NA	LJDD01	2574	NA	NA	2016-01-13	2016-01-13	Scaffold	Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria	SAMN03994011
Thielaviopsis musarum	1580842	PRJNA296851	296851	Fungi	Ascomycetes	28.4176	49.2	GCA_001513885.1	NA	LKBB01	541	NA	NA	2016-01-13	2016-01-13	Scaffold	University of Pretoria	SAMN04109605
Graphilbum fragrans	67622	PRJNA298958	298958	Fungi	Ascomycetes	34.2709	55.7	GCA_001513895.1	NA	LLKO01	80	NA	NA	2016-01-13	2016-01-13	Scaffold	University of Pretoria	SAMN04185055
Penicillium freii	48697	PRJNA277835	277835	Fungi	Ascomycetes	33.5464	47.4	GCA_001513925.1	NA	LLXE01	1923	11739	11739	2016-01-13	2016-01-13	Scaffold	Agriculture and Agri-Food Canada	SAMN03784687
Davidsoniella virescens	1580837	PRJNA295650	295650	Fungi	Ascomycetes	33.428	44.6	GCA_001513805.1	NA	LJZU01	561	NA	NA	2016-01-13	2016-01-13	Scaffold	University of Pretoria, Forestry and Agricultural Biotechnology Institute	SAMN04087260
Fusarium temperatum	767483	PRJNA242703	242703	Fungi	Ascomycetes	45.4588	47	GCA_001513835.1	NA	LJGR01	43	NA	NA	2016-01-13	2016-01-13	Scaffold	Forestry and Agricultural Biotechnology Institute (FABI)	SAMN02700550
Rhodotorula sp. JG-1b	1305733	PRJNA195770	195770	Fungi	Basidiomycetes	19.3934	60.6	GCA_001541205.1	NA	LQXB01	156	6790	6681	2016-01-26	2016-04-07	Scaffold	DOE Joint Genome Institute	SAMN02866419
Ceraceosorus bombacis	401625	PRJEB6935	299044	Fungi	Basidiomycetes	26.0901	54.9	GCA_900000165.1	NA	CCYA01	485	8023	8022	2015-10-18	2016-06-23	Scaffold	IPF	SAMEA2781509
Plasmopara halstedii	4781	PRJEB6932	299043	Protists	Other Protists	75.3218	45.8	GCA_900000015.1	NA	CCYD01	3162	15469	15469	2015-10-18	2016-06-23	Scaffold	IPF	SAMEA2781508
Eremothecium sinecaudum	45286	PRJNA310026	310026	Fungi	Ascomycetes	8.92252	40.1301	GCA_001548555.1	chromosome II:NC_030893.1/CP014242.1; chromosome III:NC_030894.1/CP014243.1; chromosome IV:NC_030895.1/CP014244.1; chromosome V:NC_030896.1/CP014245.1; chromosome VI:NC_030897.1/CP014246.1; chromosome VII:NC_030898.1/CP014247.1; chromosome VIII:NC_030899.1/CP014248.1; mitochondrion MT:CP014249.1	NA	7	5002	4536	2016-02-04	2016-09-13	Chromosome	Duke University	SAMN04445727
Preussia sp. BSL10	1712568	PRJNA295097	295097	Fungi	Ascomycetes	31.4751	52.8	GCA_001553865.1	NA	LJJI01	434	NA	NA	2016-02-09	2016-02-09	Contig	University of Nizwa	SAMN04044471
Reticulascus tulasneorum	1028407	PRJNA309908	309908	Fungi	Ascomycetes	42.8684	50.8	GCA_001557505.1	NA	LSAX01	36	NA	NA	2016-02-10	2016-02-10	Contig	Novartis Pharma AG	SAMN04441882
Aquilaria sinensis	210372	PRJNA534170	534170	Plants	Land Plants	783.887	36.9	GCA_011066525.1	NA	VZPZ01	14276	NA	NA	2020-03-06	2020-03-06	Scaffold	The Chinese University of Hong Kong	SAMN12777232
Fusarium mangiferae	192010	PRJEB9887	356390	Fungi	Ascomycetes	46.2927	47.6	GCA_900044065.1	NA	FCQH01	254	16149	15804	2016-12-06	2016-12-06	Scaffold	Institute of Bioinformatics and Systems Biology	SAMEA3862491
Penicillium griseofulvum	5078	PRJNA289974	289974	Fungi	Ascomycetes	29.1409	47.3	GCA_001561935.1	NA	LHQR01	92	9630	9630	2016-02-16	2016-02-16	Contig	University of Turin	SAMN03860337
Vitis aestivalis	3605	PRJNA302606	302606	Plants	Land Plants	432.755	33.8	GCA_001562795.1	NA	LOML01	756125	NA	NA	2016-02-17	2016-02-17	Contig	Missouri State University	SAMN04276630
Colletotrichum nymphaeae SA-01	1460502	PRJNA237763	237763	Fungi	Ascomycetes	49.9563	52.7	GCA_001563115.1	NA	JEMN01	1884	14404	14404	2016-02-17	2016-02-17	Scaffold	Universidad de Salamanca	SAMN02639527
Colletotrichum simmondsii	703756	PRJNA239224	239224	Fungi	Ascomycetes	50.4742	51.7	GCA_001563135.1	NA	JFBX01	929	13884	13884	2016-02-17	2016-02-17	Scaffold	Universidad de Salamanca	SAMN02650484
Colletotrichum salicis	1209931	PRJNA238477	238477	Fungi	Ascomycetes	48.3734	52.8	GCA_001563125.1	NA	JFFI01	2776	13783	13783	2016-02-17	2016-02-17	Scaffold	Universidad de Salamanca	SAMN02644731
Verticillium nonalfalfae	1051616	PRJNA507541	507541	Fungi	Ascomycetes	33.6464	55.1	GCA_009653595.1	NA	WGLK01	373	NA	NA	2019-11-12	2019-11-12	Scaffold	Univ. f. Bodenkultur Wien, IFFF	SAMN10497141
Fusarium sambucinum	5128	PRJNA274729	274729	Fungi	Ascomycetes	37.7842	47.8	GCA_001567575.1	NA	LSRD01	961	NA	NA	2016-02-24	2016-03-02	Contig	Central Potato Research Institute	SAMN03331940
Microdochium bolleyi	196109	PRJNA308023	308023	Fungi	Ascomycetes	38.835	57.1	GCA_001566295.1	NA	LSSP01	173	13338	13165	2016-02-22	2016-05-03	Scaffold	DOE Joint Genome Institute	SAMN04386150
Leucoagaricus sp. SymC.cos	1714833	PRJNA295288	295288	Fungi	Basidiomycetes	119.028	44.6	GCA_001563735.1	NA	LSHD01	20457	12918	12834	2016-02-18	2016-02-25	Scaffold	BGI	SAMN04045427
Talaromyces pinophilus	128442	PRJNA310372	310372	Fungi	Ascomycetes	36.5122	46.2178	GCA_001571465.2	chromosome 1:CP017344.1; chromosome 2:CP017345.1; chromosome 3:CP017346.1; chromosome 4:CP017347.1; chromosome 5:CP017348.1; chromosome 6:CP017349.1; chromosome 7:CP017350.1; chromosome 8:CP017351.1; mitochondrion MT:CP017352.1	NA	9	NA	NA	2017-07-18	2017-07-18	Complete Genome	Beijing Genomics Institute	SAMN04451644
Pythium oligandrum	41045	PRJNA528861	528861	Protists	Other Protists	41.9689	51.9	GCA_005966545.1	SPLM00000000.1	SPLM01	179	14954	14954	2019-06-04	2019-06-04	Contig	Laboratoire de Recherche en Sciences Vegetales	SAMN11246703
Pseudocercospora eumusae	321146	PRJNA289096	289096	Fungi	Ascomycetes	47.1195	47.9	GCA_001578235.1	NA	LFZN01	2626	10939	12632	2016-03-01	2016-03-01	Scaffold	University of California Davis	SAMN03842022
Pseudocercospora musae	113226	PRJNA289098	289098	Fungi	Ascomycetes	60.4392	44	GCA_001578225.1	NA	LFZO01	3331	10402	13129	2016-03-01	2016-03-01	Scaffold	University of California Davis	SAMN03842026
Lonchura striata domestica	299123	PRJNA391487	391487	Animals	Birds	1060.27	41.8269	GCA_005870125.1	chromosome 1:NC_042565.1/CM016763.1; chromosome 1A:NC_042566.1/CM016792.1; chromosome 2:NC_042567.1/CM016764.1; chromosome 3:NC_042568.1/CM016765.1; chromosome 4:NC_042569.1/CM016766.1; chromosome 4A:NC_042570.1/CM016793.1; chromosome 5:NC_042571.1/CM016767.1; chromosome 6:NC_042572.1/CM016768.1; chromosome 7:NC_042573.1/CM016769.1; chromosome 8:NC_042574.1/CM016770.1; chromosome 9:NC_042575.1/CM016771.1; chromosome 10:NC_042576.1/CM016772.1; chromosome 11:NC_042577.1/CM016773.1; chromosome 12:NC_042578.1/CM016774.1; chromosome 13:NC_042579.1/CM016775.1; chromosome 14:NC_042580.1/CM016776.1; chromosome 15:NC_042581.1/CM016777.1; chromosome 17:NC_042582.1/CM016778.1; chromosome 18:NC_042583.1/CM016779.1; chromosome 19:NC_042584.1/CM016780.1; chromosome 20:NC_042585.1/CM016781.1; chromosome 21:NC_042586.1/CM016782.1; chromosome 22:NC_042587.1/CM016783.1; chromosome 23:NC_042588.1/CM016784.1; chromosome 24:NC_042589.1/CM016785.1; chromosome 25:NC_042590.1/CM016786.1; chromosome 26:NC_042591.1/CM016787.1; chromosome 27:NC_042592.1/CM016788.1; chromosome 28:NC_042593.1/CM016789.1; chromosome 29:NC_042594.1/CM016790.1; chromosome Z:NC_042595.1/CM016791.1; mitochondrion MT:NC_029475.1/CM016794.1	SWKX01	2015	18674	29134	2019-05-28	2019-06-05	Chromosome	NCBI	SAMN11521339
Ara ararauna	9226	PRJNA497082	497082	Animals	Birds	1128.18	41.9	GCA_010014805.1	NA	JAAAKF01	70001	NA	NA	2020-01-30	2020-01-30	Scaffold	IRIDIAN GENOMES	SAMN10247388
Callipepla squamata	9009	PRJNA301734	301734	Animals	Birds	1045.28	40.6	GCA_002218305.1	NA	MCFN01	34302	17131	17131	2017-07-13	2017-07-20	Scaffold	Texas A&M University	SAMN04255336
Didymella pinodes	749589	PRJNA506611	506611	Fungi	Ascomycetes	33.7657	52.7	GCA_004151525.1	NA	RWZB01	1593	NA	NA	2019-02-08	2019-02-08	Contig	Curtin University	SAMN10465098
Myotis myotis	51298	PRJNA399444	399444	Animals	Mammals	2294.47	43.2	GCA_004026985.1	NA	PVIZ01	1045197	NA	NA	2019-01-16	2019-01-16	Scaffold	Broad Institute	SAMN07678038
Bactrocera latifrons	174628	PRJNA351211	351211	Animals	Insects	462.505	37.0997	GCA_001853355.1	mitochondrion MT:NC_029466.1/	MIMC01	3306	14128	22638	2016-10-25	2016-10-25	Scaffold	NCBI	SAMN05727007
